index,relative_path,category,extension,size_bytes,estimated_records,parse_status,sensitive_keys,observed_keys,sha256
32,public\ocr\books\class6-english\pages\page-027.json,TEXTBOOK_OCR,.json,10436,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,fbd06745c68d10153f7c32c7ada59b666b8f1cb380727a0ecdbe075949d4f39d
33,public\ocr\books\class6-english\pages\page-028.json,TEXTBOOK_OCR,.json,20241,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,b7e7d0e1b392e207f4090e7831d9364201be3422ef2c5cd684da6707d81bac07
34,public\ocr\books\class6-english\pages\page-029.json,TEXTBOOK_OCR,.json,11740,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,1ac16773b81ad510a971052cc12cb7897e479b7490ab36c65ab33b6e30e21e45
35,public\ocr\books\class6-english\pages\page-030.json,TEXTBOOK_OCR,.json,14210,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,d87a0f5ec8525d26f5af5b96b02c27676a3944a3719bf60aac50791790521d03
36,public\ocr\books\class6-english\pages\page-031.json,TEXTBOOK_OCR,.json,15322,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,cb24b1dfc8fb47bb9b1c29ba3ad9abc8a14535f6639830e7db49bd7697eeced0
37,public\ocr\books\class6-english\pages\page-032.json,TEXTBOOK_OCR,.json,11518,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,b13c91b03df762f2a4661d6298f224e6fb73bd55fbad27158d368f762b833dbf
38,public\ocr\books\class6-english\pages\page-033.json,TEXTBOOK_OCR,.json,13449,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,eed81ae66254c6e6ef91a677e30a0eb19821e6406f8ab23609ee849506d9813b
39,public\ocr\books\class6-english\pages\page-034.json,TEXTBOOK_OCR,.json,17670,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,74149c42a05d10a08ff19b8d0e9730c85dfe5a0fc9aed11a262dbfe74c1309c0
40,public\ocr\books\class6-english\pages\page-035.json,TEXTBOOK_OCR,.json,17404,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,51a72014508265fd3a333da00884ecc94b145561263494c67a104cd926647c48
41,public\ocr\books\class6-english\pages\page-036.json,TEXTBOOK_OCR,.json,18261,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,dc699db1bd74e3a30241208c00b8f7c501ec157bb2f59617c8b8e8cc8f6b9c78
42,public\ocr\books\class6-english\pages\page-037.json,TEXTBOOK_OCR,.json,17132,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,8edab754e5b2a126da691d429f507e678dff7ed11fc5cfe1b7498253a5509d20
43,public\ocr\books\class6-english\pages\page-038.json,TEXTBOOK_OCR,.json,9070,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,f9468ea4c90ee6ecbb110c76b38b8467c2ee02741141f15f3c6c9364c77189a8
44,public\ocr\books\class6-english\pages\page-039.json,TEXTBOOK_OCR,.json,25414,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,1bff488f77cb89edea2a005578d74d12b6e07761e0df98b929fab19f4a7d58e1
