record_id,book_id,class_level,subject,page_number,lesson_number,lesson_title,text_source,character_count,word_count,line_count,alpha_ratio,usable_for_rag,training_candidate,quality_flags,source_file,alternate_candidate_count,candidate_text_versions,text_sha256
class6-english-page-0037,class6-english,6,English,37,11,Are You Listening?-1,aiReadyText,886,159,17,0.7235,True,True,,public\ocr\books\class6-english\pages\page-037.json,2,2,2eafc3d6348a51805d29c609644823dd22884b9f5373635f7729843ff6894f8c
class6-english-page-0038,class6-english,6,English,38,11,Are You Listening?-1,aiReadyText,430,63,10,0.814,True,True,,public\ocr\books\class6-english\pages\page-038.json,2,2,b98d2394924bcd913900aeae3aa7ae6c94aa88db23d344c598bfe2380fc5f9da
class6-english-page-0039,class6-english,6,English,39,12,An Unseen Beauty of Bangladesh,aiReadyText,1567,267,27,0.7996,True,True,,public\ocr\books\class6-english\pages\page-039.json,2,2,48c94eff5cd8b51cb0c772227dda8d311ab1559096aa7afa2ec58528666fd4d6
class6-english-page-0040,class6-english,6,English,40,12,An Unseen Beauty of Bangladesh,aiReadyText,1227,223,24,0.7848,True,True,,public\ocr\books\class6-english\pages\page-040.json,2,2,6be411f4b91dfdba00adcc3443804c1cc05473140ab08ad940a1f62a3f25948d
class6-english-page-0041,class6-english,6,English,41,12,An Unseen Beauty of Bangladesh,aiReadyText,1452,258,24,0.7906,True,True,,public\ocr\books\class6-english\pages\page-041.json,2,2,b96fdf07d517f84660b8ada799cbf4380301c8e55ec438e3a00bbbd6b50c0988
class6-english-page-0042,class6-english,6,English,42,13,Our Pride,aiReadyText,242,36,6,0.8058,True,True,,public\ocr\books\class6-english\pages\page-042.json,2,2,a661bee0c270380991af22fcf76c4c219a6b102030e8c95bbea255c4d93ddc98
class6-english-page-0043,class6-english,6,English,43,13,Our Pride,aiReadyText,904,171,16,0.7423,True,True,,public\ocr\books\class6-english\pages\page-043.json,2,2,4d69cf3ba2d756e4f89a5b15b11ca7bfb3f4a14c33a1c57b6bb9c75bea8971ff
class6-english-page-0044,class6-english,6,English,44,13,Our Pride,aiReadyText,1271,213,21,0.8033,True,True,,public\ocr\books\class6-english\pages\page-044.json,2,2,36741ca0c75b254a7a7ab97a9c15ef88bd36329950bde0afe38804aafdccd20f
class6-english-page-0045,class6-english,6,English,45,13,Our Pride,aiReadyText,1281,216,29,0.7947,True,True,,public\ocr\books\class6-english\pages\page-045.json,2,2,f8ad2a17c540346d4d12918ed09c925ff80fdabb93c4b0cf7f39d68a5858622c
class6-english-page-0046,class6-english,6,English,46,14,The Lion's Mane,aiReadyText,1057,170,24,0.7729,True,True,,public\ocr\books\class6-english\pages\page-046.json,2,2,ab9b921f72b389817c2eb02b0b6551acadcebdc7a36a294f70c84e98a04bf9b2
class6-english-page-0047,class6-english,6,English,47,14,The Lion's Mane,aiReadyText,1147,177,25,0.8178,True,True,,public\ocr\books\class6-english\pages\page-047.json,2,2,2de17cfbdfed003ee11bf70e7980f6c5a9359f877a4780ce0953890e093b2769
class6-english-page-0048,class6-english,6,English,48,14,The Lion's Mane,aiReadyText,1099,187,26,0.778,True,True,,public\ocr\books\class6-english\pages\page-048.json,2,2,752e33d9739a59760a6466f8309b03c6b6e46f171e1aa4af98a439fd8d57d119
class6-english-page-0049,class6-english,6,English,49,15,An Old People's Home,aiReadyText,827,149,21,0.7642,True,True,,public\ocr\books\class6-english\pages\page-049.json,2,2,b7a169741b6e8fb6d235e15bb422661f2337b16d3b48443ad4d041c352f4fe08
class6-english-page-0050,class6-english,6,English,50,15,An Old People's Home,aiReadyText,761,136,20,0.8003,True,True,,public\ocr\books\class6-english\pages\page-050.json,2,2,d561705b0f5ca538c45d1ae70e862745e58375c83c072e4b9155af4e77b6aaff
class6-english-page-0051,class6-english,6,English,51,15,An Old People's Home,aiReadyText,374,73,11,0.7701,True,True,,public\ocr\books\class6-english\pages\page-051.json,2,2,0eecf1d89f1c2ead0a1221c718c2e45e6532f5e784c23486ad605b13c058d96b
class6-english-page-0052,class6-english,6,English,52,16,Boats Sail on the Rivers,aiReadyText,1189,235,23,0.7586,True,True,,public\ocr\books\class6-english\pages\page-052.json,2,2,aad44bad00242a2310b9df924f02c31bf6ac5e61bec1160e0f77b50081e75dfd
class6-english-page-0053,class6-english,6,English,53,17,Are You Listening?-2,aiReadyText,530,98,14,0.783,True,True,,public\ocr\books\class6-english\pages\page-053.json,2,2,705cdeaca53bcbb5ac6ae3a57c531d057c2f159d4b60aa8a7a60dc33ec8cc227
class6-english-page-0054,class6-english,6,English,54,17,Are You Listening?-2,aiReadyText,1661,302,30,0.7917,True,True,,public\ocr\books\class6-english\pages\page-054.json,2,2,8fbb8b550f8de5bcba6ef904528de1861da24f505127af00c5e1876b816595fb
class6-english-page-0055,class6-english,6,English,55,17,Are You Listening?-2,aiReadyText,971,176,20,0.7981,True,True,,public\ocr\books\class6-english\pages\page-055.json,2,2,c851719a7d88b0d4728c9f85e3d6e38c40dda281b842021e18f2f9935c5e762e
class6-english-page-0056,class6-english,6,English,56,18,Make Your Snacks,aiReadyText,1146,228,21,0.7661,True,True,,public\ocr\books\class6-english\pages\page-056.json,2,2,7f74338e23ad48fac8bd8880347bf5e69d0a61179658899c69dbd8c58ee809b3
class6-english-page-0057,class6-english,6,English,57,18,Make Your Snacks,aiReadyText,570,100,18,0.7912,True,True,,public\ocr\books\class6-english\pages\page-057.json,2,2,1806cff0276b8e849fa5b4461d4a1038feac2b654f2083904da20f1fd982a2d0
class6-english-page-0058,class6-english,6,English,58,18,Make Your Snacks,aiReadyText,1141,204,29,0.7739,True,True,,public\ocr\books\class6-english\pages\page-058.json,2,2,ff70edf343b48d06f4a67a020f7c204aa58cae64b5e45b99455e40ccc4f30572
class6-english-page-0059,class6-english,6,English,59,18,Make Your Snacks,aiReadyText,370,64,9,0.7784,True,True,,public\ocr\books\class6-english\pages\page-059.json,2,2,887f5ff6333848f4908ee94671c19d766235877b92e45fbf806225054ee50985
class6-english-page-0060,class6-english,6,English,60,19,"Stop, Look and Listen",aiReadyText,459,91,9,0.7821,True,True,,public\ocr\books\class6-english\pages\page-060.json,2,2,fccb0d52e036653af687d54c3a9ae39a75bb7f992fd343bbc5b658abb030add2
class6-english-page-0061,class6-english,6,English,61,20,Hason Raja: The Mystic Bard of Bangladesh,aiReadyText,920,173,24,0.7783,True,True,,public\ocr\books\class6-english\pages\page-061.json,2,2,333205b2ea5e7e8a811fc338933aec0e6948df44eaa5bf5f423c09bd59a6e703
class6-english-page-0062,class6-english,6,English,62,20,Hason Raja: The Mystic Bard of Bangladesh,aiReadyText,647,117,15,0.7867,True,True,,public\ocr\books\class6-english\pages\page-062.json,2,2,935b40c9982ffad580b523f4b04eded0cae19203214e197a7b13e007f86ee83f
class6-english-page-0063,class6-english,6,English,63,21,Wonders of the World-1,aiReadyText,817,169,18,0.7515,True,True,,public\ocr\books\class6-english\pages\page-063.json,2,2,8ec6f6b8c3302dc93e593790965b4f3ed3f6b8a7b0f49c0d87dd90b3e562fa94
class6-english-page-0064,class6-english,6,English,64,21,Wonders of the World-1,aiReadyText,423,84,12,0.7683,True,True,,public\ocr\books\class6-english\pages\page-064.json,2,2,8f51237429badfa3c4828a9396800d814d4acdb559293f8f78aa8b7bb14898d4
class6-english-page-0065,class6-english,6,English,65,22,Wonders of the World-2,aiReadyText,1058,203,22,0.7637,True,True,,public\ocr\books\class6-english\pages\page-065.json,2,2,2964ce968a26e4aa2db7d6fdce1b435c41c02ce53a3e3429bf2d514d22b38130
class6-english-page-0066,class6-english,6,English,66,22,Wonders of the World-2,aiReadyText,1060,183,20,0.7877,True,True,,public\ocr\books\class6-english\pages\page-066.json,2,2,1738de80ce5a488ce31e632a705ebe2be14d856d97eb776bf351455c448b31b3
class6-english-page-0067,class6-english,6,English,67,22,Wonders of the World-2,aiReadyText,993,169,23,0.7795,True,True,,public\ocr\books\class6-english\pages\page-067.json,2,2,3888cbff13e756c40362950f5d34178ea1f790ef2798a388f2d6375f1481c0ac
class6-english-page-0068,class6-english,6,English,68,23,We Live in a Global Village,aiReadyText,1230,233,23,0.778,True,True,,public\ocr\books\class6-english\pages\page-068.json,2,2,c1da04cb4b7ea31117eba8dc748faa36719709e013e95c059906028c59aaa059
class6-english-page-0069,class6-english,6,English,69,23,We Live in a Global Village,aiReadyText,1557,281,29,0.7495,True,True,,public\ocr\books\class6-english\pages\page-069.json,2,2,114ef668f9a3ec8e2c28785e5a27daa95537d0909077fc4624d1dcd27ec62f39
class6-english-page-0070,class6-english,6,English,70,23,We Live in a Global Village,aiReadyText,1481,264,28,0.7947,True,True,,public\ocr\books\class6-english\pages\page-070.json,2,2,38a5d89eb5dbd4fc1400c33c4de6e1eb61c1ec37ceb9eac4f8d9dd548833586b
class6-english-page-0071,class6-english,6,English,71,24,Our Wage Earners,aiReadyText,1203,206,23,0.8121,True,True,,public\ocr\books\class6-english\pages\page-071.json,2,2,337f8a742be5cb8e0e31db61f8a02cdd22f20226477b984d02d2012e8779bced
class6-english-page-0072,class6-english,6,English,72,24,Our Wage Earners,aiReadyText,1210,220,30,0.7669,True,True,,public\ocr\books\class6-english\pages\page-072.json,2,2,e421f243a7312c2fe6e3f76c753c82c8126f35019b0499913210081e3e6ed741
class6-english-page-0073,class6-english,6,English,73,24,Our Wage Earners,aiReadyText,1318,237,20,0.7898,True,True,,public\ocr\books\class6-english\pages\page-073.json,2,2,8dd469c59065b72edebe328ce356d0f432b05b7fd8ea7482bcf585b759958e39
class6-english-page-0074,class6-english,6,English,74,24,Our Wage Earners,aiReadyText,1497,281,25,0.7735,True,True,,public\ocr\books\class6-english\pages\page-074.json,2,2,af586e1136b11ed32cad1a346458768eccbd229eba58c8493a5675b4fa98fe9d
class6-english-page-0075,class6-english,6,English,75,25,The Concert for Bangladesh,aiReadyText,1033,180,17,0.7367,True,True,,public\ocr\books\class6-english\pages\page-075.json,2,2,c88b5ae86411ee6089f15706f084ea1df34b1b100108d05922aae53b4616d54f
class6-english-page-0076,class6-english,6,English,76,25,The Concert for Bangladesh,aiReadyText,1327,222,22,0.7988,True,True,,public\ocr\books\class6-english\pages\page-076.json,2,2,6316d7e40c125332a26cbaa18da1eb7ce01fdcaf929d25544348d357a8e539b0
class6-english-page-0077,class6-english,6,English,77,25,The Concert for Bangladesh,aiReadyText,875,159,21,0.7909,True,True,,public\ocr\books\class6-english\pages\page-077.json,2,2,b2d75de4fc8599e64e95ea7508cd230804bd191cebfb199317be91c24505a5be
